no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
5662;72;03;PT QING SHUI ECO MATERIAL;TRANS SULAWESI KAWASAN INDUSTRI IMIP, LABOTA, BAHODOPI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5663;72;03;PT CANTOSTAR AIR INDONESIA;KAWASAN INDUSTRI MOROWALI (PT IMIP), DESA FATUFIA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5664;72;03;PT RISUN WEI SHAN INDONESIA;JL. TRANS SULAWESI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5665;72;03;TELUK METAL INDUSTRY, PT;KAWASAN INDUSTRI MOROWALI, JL. TRANS SULAWESI, FATUFIA;;;;;Kawasan Industri
5666;72;03;MARS METAL INDUSTRY, PT;KAWASAN INDUSTRI MOROWALI, JL. TRANS SULAWESI, FATUFIA;;;;;Kawasan Industri
5667;72;03;PT KINXIANG NEW ENERGY TECHNOLOGIES INDONESIA;KAWASAN INDUSTRI MOROWALI (PT IMIP), JL. TRANS SULAWESI, LABOTA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5668;72;03;PT. MOROWALI INDUSTRI SEJAHTERA (#231);;;;;;Kawasan Industri
5669;72;03;CEMERLANG SERVIS PERAWATAN;DESA LABOTA, KAWASAN INDUSTRI IMIP;;;;;Kawasan Industri
5670;72;03;PT TSINGCHENG TECHNOLOGY INDONESIA;;;;;;Kawasan Industri
5671;72;03;PT DECHO NEW ENERGY;PT IMIP;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5672;72;03;ARTONO SIMANUNGKALIT;DESA LAROENAI, KEC. BUNGKU PESISIR, KAB. MOROWALI, PROV. SULAWESI TENGAH;;;;;Kawasan Industri
5673;72;03;PT CHENGSENG NEW ENERGY;;;;;;Kawasan Industri
5674;72;03;PT DINSON LITHIUM INDONESIA;PT IMIP;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5675;72;03;PT XINHENG METAL INDONESIA;;;;;;Kawasan Industri
5676;72;03;PT. BAOSHUO TAMAN INDUSTRY INVESTMENT GROUP (#224);DESA TOPOGARO, DESA/KELURAHAN TOPOGARO,KEC. BUNGKU BARAT, KAB. MOROWALI, PROVINSISULAWESI TENGAH;;;;;Kawasan Industri
5677;72;12;GUNBUSTER NICKEL INDUSTRY, PT;DESA BUNTA, PETASIA, MOROWALI UTARA, SULAWESI TENGAH;7212;[12] MOROWALI UTARA;Kawasan Industri;Stardust Estate Investment;Kawasan Industri
